label,pattern,sublocation,count,country,interest_1,interest_2,indoor_outdoor,adjective,video_sentiment,comment_sentiment
GPE,pulau punggol barat,pulau punggol barat,Northeast Region,1.92,nature,,outdoor,,,
GPE,pulau punggol timor,pulau punggol timor,Northeast Region,1.12,nature,,outdoor,,,
GPE,pulau sakijang bendera (saint john's island),saint john island,Central Region,0.405,nature,,outdoor,,,
GPE,pulau sakijang pelepah (lazarus island),lazarus island,Central Region,0.47,nature,,outdoor,,,
GPE,pulau salu,pulau salu,West Region,,nature,,outdoor,,,
GPE,pulau samulun,pulau samulun,West Region,0.004,nature,,outdoor,,,
GPE,pulau satumu,pulau satumu,West Region,0.013,nature,,outdoor,,,
GPE,pulau sebarok (middle island),middle island,West Region,0.468,nature,,outdoor,,,
GPE,pulau sekudu,pulau sekudu,Northeast Region,—,nature,,outdoor,,,
GPE,pulau seletar,pulau seletar,North Region,0.385,nature,,outdoor,,,
GPE,pulau semakau,pulau semakau,West Region,3.5,nature,,outdoor,,,
GPE,pulau serangoon,coney island,,,nature,,outdoor,,,
GPE,pulau seringat,pulau seringat,Central Region,—,nature,,outdoor,,,
GPE,pulau seringat kechil,pulau seringat kechil,Central Region,—,nature,,outdoor,,,
GPE,pulau subar darat (sisters' island),sister island,Central Region,0.056,nature,,outdoor,,,
GPE,pulau tekukor,pulau tekukor,Central Region,—,nature,,outdoor,,,
GPE,pulau ubin,pulau ubin,,,nature,recreation,outdoor,,,
GPE,pulau unum,pulau unum,Northeast Region,—,nature,,outdoor,,,
FAC,punggol park,punggol park,,,park,,outdoor,,,
FAC,punggol plaza,punggol plaza,,,shopping,,indoor,,,
FAC,punggol point park,punggol point park,,,park,,outdoor,,,
FAC,punggol waterway park,punggol waterway park,,,park,,outdoor,,,
FAC,qi tian gong,qi tian gong,,,religion,,indoor,,,
FAC,queensway shopping centre,queensway shopping centre,,,shopping,,indoor,,,
FAC,raffles city,raffles city,,,shopping,,indoor,,,
FAC,raffles hotel,raffles hotel,,singapore,shopping,,indoor,,,
FAC,raffles place park,raffles place park,,,park,,outdoor,,,
FAC,rail mall,rail mall,,,shopping,,indoor,,,
FAC,red dot design museum singapore,red dot design museum singapore,,,museum,,indoor,,,
FAC,resorts world,resorts world,,,amusement park,,outdoor,,,
FAC,river wonder,river wonder,,,wildlife park,,outdoor,,,
FAC,rivervale mall,rivervale mall,,,shopping,,indoor,,,
FAC,rivervale plaza,rivervale plaza,,,shopping,,indoor,,,
FAC,rochester mall,rochester mall,,,shopping,,indoor,,,
FAC,rochor canal,rochor canal,,,nature,architecture,outdoor,,,
GPE,rochor river,rochor river,,,nature,architecture,outdoor,,,
FAC,roxy square,roxy square,,,shopping,,indoor,,,
FAC,royal albatross,royal albatross,,,nature,recreation,outdoor,,,
GPE,saint john island,saint john island,,,nature,,outdoor,,,
GPE,sandy island,sandy island,Central Region,0.0007,nature,,outdoor,,,
FAC,scentopia,scentopia,,,recreation,,indoor,,,
FAC,scotts square,scotts square,,,shopping,,indoor,,,
FAC,sea aquarium,sea aquarium,,singapore,wildlife park,,outdoor,,,
FAC,selegie arts,selegie arts,,,museum,,indoor,,,
FAC,sembawang park,sembawang park,,,park,,outdoor,,,
FAC,sembawang shopping centre,sembawang shopping centre,,,shopping,,indoor,,,
FAC,sengkang grand mall,sengkang grand mall,,,shopping,,indoor,,,
FAC,sengkang riverside park,sengkang riverside park,,,park,,outdoor,,,
FAC,sengkang sculpture park,sengkang sculpture park,,,park,,outdoor,,,
GPE,sentosa,sentosa,,singapore,recreation,,outdoor,,,
FAC,shaw centre,shaw centre,,,shopping,,indoor,,,
FAC,shaw house,shaw house,,,shopping,,indoor,,,
FAC,shoppe,shoppe at marina bay sand,,singapore,shopping,,indoor,,,
FAC,shoppe at marina bay sands,shoppe at marina bay sand,,,shopping,,indoor,,,
FAC,siglap canal,siglap canal,,,nature,architecture,outdoor,,,
GPE,siloso beach,siloso beach,,,nature,,outdoor,,,
FAC,sim lim square,sim lim square,,,shopping,,indoor,,,
ORG,singapore airline,singapore airline,,,transport,,indoor,,,
FAC,singapore airport,singapore airport,,singapore,transport,recreation,indoor,,,
FAC,singapore art museum,singapore art museum,,,museum,,indoor,,,
GPE,singapore botanic gardens,singapore botanic gardens,,,nature,park,outdoor,,,
FAC,singapore centre,singapore centre,,,shopping,,indoor,,,
FAC,singapore coins and notes museum,singapore coins and notes museum,,,museum,,indoor,,,
FAC,singapore discovery,singapore discovery,,,museum,,indoor,,,
FAC,singapore flyer,singapore flyer,,,architecture,recreation,outdoor,,,
FAC,singapore philatelic museum,singapore philatelic museum,,,museum,,indoor,,,
FAC,singapore pinacotheque de paris,singapore pinacotheque de paris,,,museum,,indoor,,,
GPE,singapore river,singapore river,,,nature,architecture,outdoor,,,
FAC,singapore shopping centre,singapore shopping centre,,,shopping,,indoor,,,
FAC,singapore zoo,singapore zoo,,singapore,wildlife park,,outdoor,,,
FAC,singpost centre,singpost centre,,,shopping,,indoor,,,
GPE,sister island,sister island,,,nature,,outdoor,,,
GPE,sisters island marine park,sisters island marine park,,,nature,park,outdoor,,,
FAC,sky garden,sky garden,,singapore,park,architecture,outdoor,,,
FAC,skyline luge,skyline luge,,singapore,amusement park,recreation,outdoor,,,
FAC,skypark,skypark,,singapore,recreation,,outdoor,,,
FAC,skyride,skyride,,singapore,amusement park,recreation,outdoor,,,
FAC,skyway,skyway,,singapore,architecture,nature,outdoor,,,
FAC,smoke mirror,smoke mirror,,singapore,food and drinks,,indoor,,,
FAC,southern ridge,southern ridge,,singapore,nature,architecture,outdoor,,,
FAC,sports museum,sports museum,,,museum,recreation,indoor,,,
FAC,square 2,square 2,,,shopping,,indoor,,,
FAC,sri lankaramaya,sri lankaramaya,,,religion,,indoor,,,
FAC,sri mariamman,sri mariamman,,,religion,,indoor,,,
FAC,sri temasek,sri temasek,,,religion,,indoor,,,
FAC,sri thendayuthapani,sri thendayuthapani,,,religion,,indoor,,,
WORK_OF_ART,street art,street art,,,art,,outdoor,,,
