id,url,handle,comment_count,comment
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Sisss @user9927813965022
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,manifesting. ✨Taylor swift concert.
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,It’s a beautiful place 🥰 visited last year
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,I'm going in 1 week😳
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,@Ryan Vista Argenal iterinary ta hahahaha
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,loveee @margsss.11
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,@jessyjcc manifesting 🥺
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,see you Singapore 🥰🙏🏻🥳
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,IM GOING TO SINGAPORE NEXT WEEK
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Is 3 days in Singapore enough time?
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Will save this for future use
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,i miss Singapore 🥺
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,@rein will travel the world with you soon. Iloveyou hon
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,i really want to try the marina bay sands roof top
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,"As a singaporean living abroad, i miss home"
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,@Freya make notes 👍🏿🥰😇
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,the best is getting around with a peace of mind it is so safe here
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,i live in singapore and it is fun to live here
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,very expensive country😂😂😂
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,I just love this country! So amazing!
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,This country is really beautiful.🥰
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Really cool place one can live peacefully 🥰🥰
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,nice
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,"If you are bringing your kids, bring them to East Coast playgrounds, super fun and free."
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,@Jordan heavy on singapore
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,@Nina🧚🏽‍♀️ i wanna go
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Beautiful
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,how many days would this require?
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,I’m from singapore
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,can we just walk in for ticket art science museum
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,how about Universal Studio?🥹
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,@akiadaaki we coming back for more days
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,im going to singapore in 1 year im so excited
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,I am planning to visit Singapore can you please suggest me where to stay or which city to stay so that i can visit all this place easily??
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Thank you 🙏
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,@MissLou💖 soon
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,@Faith Nichole Longakit Pepito i wonder what time the waterfalls open at jewel cuz last time i went there was no water😭😭💔
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,my dream job 😔
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,One of my absolute fav cities I’ve been to!!!
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,What time is garden by the Bay light show?
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,It looks amazing. Definitely on my list 🥰🥰
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Fantastic
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,@ghee next char hahah
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,The Gardens by the Bay is highly recommended. Go Jewel (by the airport Terminal 1) - the Marvel display now is fab too.
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Very good governance 👍
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Which location hotel to choose ? Anyone any recommendations
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Singapore is really a beautiful country with good policies.🥰🥰
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,@brin we gotta go to singapore
2_cmt,https://www.tiktok.com/@montanadarby/video/7217039897687887109,montanadarby,609,Singapore was amazing
